,From,,,,,,,,,,,,,,,,,,,,To,,,,,,,,,,,,,,,,,,
,,,,,,,Sidewalk N-W,Bike Lane N-W,Road N,,,Bike Lane N-E,Sidewalk N-E,,,,,,,,,,,,,,Sidewalk N-W,Bike Lane N-W,Road N,,,Bike Lane N-E,Sidewalk N-E,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.12440191387559808,2.0733652312599681E-2,0,,,7.9744816586921844E-3,6.3795853269537475E-2,,,,,,,,,,,,,,0.12918660287081341,2.3923444976076555E-2,0,,,1.9138755980861243E-2,8.9314194577352471E-2,,,,,,
,,,,,,,78,13,0,,,5,40,,,,,,,,,,,,,,81,15,0,,,12,56,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidewalk W-N,7.3365231259968106E-2,46,,,,,,,,,,,,,,37,5.9011164274322167E-2,Sidewalk E-N,,Sidewalk W-N,6.2200956937799042E-2,39,,,,,,,,,,,,,,36,5.7416267942583733E-2,Sidewalk E-N
,Bikeway W,3.5087719298245612E-2,22,,,,,,,,,,,,,,57,9.0909090909090912E-2,Bikeway E,,Bikeway W,5.5821371610845293E-2,35,,,,,,,,,,,,,,63,0.10047846889952153,Bikeway E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Road W,4.7846889952153108E-3,3,,,,,,,,,,,,,,4,6.379585326953748E-3,Road E,,Road W,4.7846889952153108E-3,3,,,,,,,,,,,,,,3,4.7846889952153108E-3,Road E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidewalk W-S,2.8708133971291867E-2,18,,,,,,,,,,,,,,43,6.8580542264752797E-2,Trail E-S,,Sidewalk W-S,3.8277511961722487E-2,24,,,,,,,,,,,,,,31,4.9441786283891544E-2,Trail E-S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,236,2,0,,,6,17,,,,,,,,,,,,,,195,8,0,,,0,26,,,,,,
,,,,,,,0.37639553429027112,3.189792663476874E-3,0,,,9.5693779904306216E-3,2.7113237639553429E-2,,,,,,,,,,,,,,0.31100478468899523,1.2759170653907496E-2,0,,,0,4.1467304625199361E-2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sidewalk S-W,Bike Lane S-W,Road S,,,Bike Lane S-E,Sidewalk S-E,,,,,,,,,,,,,,Sidewalk S-W,Bike Lane S-W,Road S,,,Bike Lane S-E,Sidewalk S-E,,,,,,
