,15-Minute Intervals,,,,,,,1-Hour Intervals,,,,,
,Time,Pedestrian,Bike,Scooter,Other,15-min Total,,Time,Pedestrian,Bike,Scooter,Other,Hourly Total
,1899-12-30,0,0,0,0,0,,1899-12-30,0,0,0,0,0
,1899-12-30 00:15,0,0,0,0,0,,1899-12-30 01:00,0,0,0,0,0
,1899-12-30 00:30,0,0,0,0,0,,1899-12-30 02:00,0,0,0,0,0
,1899-12-30 00:45,0,0,0,0,0,,1899-12-30 03:00,0,0,0,0,0
,1899-12-30 01:00,0,0,0,0,0,,1899-12-30 04:00,0,0,0,0,0
,1899-12-30 01:15,0,0,0,0,0,,1899-12-30 05:00,2,1,0,0,3
,1899-12-30 01:30,0,0,0,0,0,,1899-12-30 06:00,36,0,0,0,36
,1899-12-30 01:45,0,0,0,0,0,,1899-12-30 07:00,19,9,1,0,29
,1899-12-30 02:00,0,0,0,0,0,,1899-12-30 08:00,75,70,37,0,182
,1899-12-30 02:15,0,0,0,0,0,,1899-12-30 09:00,82,35,19,1,137
,1899-12-30 02:30,0,0,0,0,0,,1899-12-30 10:00,4,6,0,0,10
,1899-12-30 02:45,0,0,0,0,0,,1899-12-30 11:00,6,9,0,0,15
,1899-12-30 03:00,0,0,0,0,0,,1899-12-30 12:00,6,3,0,0,9
,1899-12-30 03:15,0,0,0,0,0,,1899-12-30 13:00,4,0,0,0,4
,1899-12-30 03:30,0,0,0,0,0,,1899-12-30 14:00,7,2,0,0,9
,1899-12-30 03:45,0,0,0,0,0,,1899-12-30 15:00,122,108,42,1,273
,1899-12-30 04:00,0,0,0,0,0,,1899-12-30 16:00,6,4,5,0,15
,1899-12-30 04:15,0,0,0,0,0,,1899-12-30 17:00,5,4,1,0,10
,1899-12-30 04:30,0,0,0,0,0,,1899-12-30 18:00,0,5,3,0,8
,1899-12-30 04:45,0,0,0,0,0,,1899-12-30 19:00,15,6,0,0,21
,1899-12-30 05:00,0,0,0,0,0,,1899-12-30 20:00,21,8,0,0,29
,1899-12-30 05:15,0,0,0,0,0,,1899-12-30 21:00,6,2,0,0,8
,1899-12-30 05:30,0,0,0,0,0,,1899-12-30 22:00,2,0,0,0,2
,1899-12-30 05:45,2,1,0,0,3,,1899-12-30 23:00,1,0,0,0,1
,1899-12-30 06:00,4,0,0,0,4,,Total,419,272,108,2,801
,1899-12-30 06:15,12,0,0,0,12,,,,,,,
,1899-12-30 06:30,8,0,0,0,8,,,,,,,
,1899-12-30 06:45,12,0,0,0,12,,,,,,,
,1899-12-30 07:00,6,2,1,0,9,,,,,,,
,1899-12-30 07:15,5,3,0,0,8,,,,,,,
,1899-12-30 07:30,3,1,0,0,4,,,,,,,
,1899-12-30 07:45,5,3,0,0,8,,,,,,,
,1899-12-30 08:00,4,2,0,0,6,,,,,,,
,1899-12-30 08:15,5,2,0,0,7,,,,,,,
,1899-12-30 08:30,9,6,2,0,17,,,,,,,
,1899-12-30 08:45,57,60,35,0,152,,,,,,,
,1899-12-30 09:00,41,23,17,1,82,,,,,,,
,1899-12-30 09:15,34,12,2,0,48,,,,,,,
,1899-12-30 09:30,6,0,0,0,6,,,,,,,
,1899-12-30 09:45,1,0,0,0,1,,,,,,,
,1899-12-30 10:00,0,0,0,0,0,,,,,,,
,1899-12-30 10:15,3,2,0,0,5,,,,,,,
,1899-12-30 10:30,1,2,0,0,3,,,,,,,
,1899-12-30 10:45,0,2,0,0,2,,,,,,,
,1899-12-30 11:00,1,0,0,0,1,,,,,,,
,1899-12-30 11:15,2,4,0,0,6,,,,,,,
,1899-12-30 11:30,3,0,0,0,3,,,,,,,
,1899-12-30 11:45,0,5,0,0,5,,,,,,,
,1899-12-30 12:00,3,0,0,0,3,,,,,,,
,1899-12-30 12:15,0,3,0,0,3,,,,,,,
,1899-12-30 12:30,1,0,0,0,1,,,,,,,
,1899-12-30 12:45,2,0,0,0,2,,,,,,,
,1899-12-30 13:00,1,0,0,0,1,,,,,,,
,1899-12-30 13:15,2,0,0,0,2,,,,,,,
,1899-12-30 13:30,0,0,0,0,0,,,,,,,
,1899-12-30 13:45,1,0,0,0,1,,,,,,,
,1899-12-30 14:00,0,2,0,0,2,,,,,,,
,1899-12-30 14:15,1,0,0,0,1,,,,,,,
,1899-12-30 14:30,0,0,0,0,0,,,,,,,
,1899-12-30 14:45,6,0,0,0,6,,,,,,,
,1899-12-30 15:00,3,8,0,0,11,,,,,,,
,1899-12-30 15:15,16,10,3,0,29,,,,,,,
,1899-12-30 15:30,101,85,39,1,226,,,,,,,
,1899-12-30 15:45,2,5,0,0,7,,,,,,,
,1899-12-30 16:00,0,0,0,0,0,,,,,,,
,1899-12-30 16:15,1,0,3,0,4,,,,,,,
,1899-12-30 16:30,5,4,1,0,10,,,,,,,
,1899-12-30 16:45,0,0,1,0,1,,,,,,,
,1899-12-30 17:00,5,0,0,0,5,,,,,,,
,1899-12-30 17:15,0,2,0,0,2,,,,,,,
,1899-12-30 17:30,0,1,1,0,2,,,,,,,
,1899-12-30 17:45,0,1,0,0,1,,,,,,,
,1899-12-30 18:00,0,1,0,0,1,,,,,,,
,1899-12-30 18:15,0,0,1,0,1,,,,,,,
,1899-12-30 18:30,0,2,2,0,4,,,,,,,
,1899-12-30 18:45,0,2,0,0,2,,,,,,,
,1899-12-30 19:00,1,0,0,0,1,,,,,,,
,1899-12-30 19:15,7,1,0,0,8,,,,,,,
,1899-12-30 19:30,5,3,0,0,8,,,,,,,
,1899-12-30 19:45,2,2,0,0,4,,,,,,,
,1899-12-30 20:00,3,5,0,0,8,,,,,,,
,1899-12-30 20:15,3,0,0,0,3,,,,,,,
,1899-12-30 20:30,10,2,0,0,12,,,,,,,
,1899-12-30 20:45,5,1,0,0,6,,,,,,,
,1899-12-30 21:00,0,0,0,0,0,,,,,,,
,1899-12-30 21:15,0,0,0,0,0,,,,,,,
,1899-12-30 21:30,2,2,0,0,4,,,,,,,
,1899-12-30 21:45,4,0,0,0,4,,,,,,,
,1899-12-30 22:00,0,0,0,0,0,,,,,,,
,1899-12-30 22:15,2,0,0,0,2,,,,,,,
,1899-12-30 22:30,0,0,0,0,0,,,,,,,
,1899-12-30 22:45,0,0,0,0,0,,,,,,,
,1899-12-30 23:00,1,0,0,0,1,,,,,,,
,1899-12-30 23:15,0,0,0,0,0,,,,,,,
,1899-12-30 23:30,0,0,0,0,0,,,,,,,
,1899-12-30 23:45,0,0,0,0,0,,,,,,,
,Total,419,272,108,2,801,,,,,,,
