,From,,,,,,,,,,,,,,,,,,,,To,,,,,,,,,,,,,,,,,,
,,,,,,,Sidewalk N-W,Bike Lane N-W,Road N,,,Bike Lane N-E,Sidewalk N-E,,,,,,,,,,,,,,Sidewalk N-W,Bike Lane N-W,Road N,,,Bike Lane N-E,Sidewalk N-E,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.1198501872659176,1.6229712858926344E-2,1.2484394506866417E-3,,,0,7.2409488139825215E-2,,,,,,,,,,,,,,0.14481897627965043,8.7390761548064924E-3,1.2484394506866417E-3,,,9.9875156054931337E-3,8.1148564294631714E-2,,,,,,
,,,,,,,96,13,1,,,0,58,,,,,,,,,,,,,,116,7,1,,,8,65,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidewalk W-N,5.742821473158552E-2,46,,,,,,,,,,,,,,52,6.4918851435705374E-2,Sidewalk E-N,,Sidewalk W-N,6.4918851435705374E-2,52,,,,,,,,,,,,,,44,5.4931335830212237E-2,Sidewalk E-N
,Bikeway W,6.3670411985018729E-2,51,,,,,,,,,,,,,,86,0.10736579275905118,Bikeway E,,Bikeway W,7.2409488139825215E-2,58,,,,,,,,,,,,,,76,9.4881398252184765E-2,Bikeway E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Road W,6.2421972534332081E-3,5,,,,,,,,,,,,,,6,7.4906367041198503E-3,Road E,,Road W,8.7390761548064924E-3,7,,,,,,,,,,,,,,4,4.9937578027465668E-3,Road E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidewalk W-S,4.2446941323345817E-2,34,,,,,,,,,,,,,,55,6.8664169787765295E-2,Trail E-S,,Sidewalk W-S,3.2459425717852687E-2,26,,,,,,,,,,,,,,37,4.6192259675405745E-2,Trail E-S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,252,1,1,,,7,37,,,,,,,,,,,,,,252,4,0,,,0,44,,,,,,
,,,,,,,0.3146067415730337,1.2484394506866417E-3,1.2484394506866417E-3,,,8.7390761548064924E-3,4.6192259675405745E-2,,,,,,,,,,,,,,0.3146067415730337,4.9937578027465668E-3,0,,,0,5.4931335830212237E-2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sidewalk S-W,Bike Lane S-W,Road S,,,Bike Lane S-E,Sidewalk S-E,,,,,,,,,,,,,,Sidewalk S-W,Bike Lane S-W,Road S,,,Bike Lane S-E,Sidewalk S-E,,,,,,
