model,region,estimate,std_error,conf_low,conf_high,n,r_squared,label
Unadjusted,All,17.83386976479207,1.5919483201779416,14.713651057243304,20.954088472340835,2417,0.049398591915844184,All - Unadjusted
Adjusted (log population),All,17.994080150263027,1.5804371149930307,14.896423404876687,21.09173689564937,2417,0.06374441155772727,All - Adjusted (log population)
Adjusted (log population),Midwest,8.794700459774825,1.8302572814955822,5.207396188043484,12.382004731506166,834,0.03048079697411032,Midwest - Region Adjusted
Adjusted (log population),Northeast,32.67129851707716,7.7732534389653996,17.43572177670498,47.90687525744934,89,0.2156280454108439,Northeast - Region Adjusted
Adjusted (log population),South,17.5535826970233,2.2897511810528886,13.065670382159642,22.041495011886962,1150,0.14195916260309716,South - Region Adjusted
Adjusted (log population),West,28.459857272911876,3.1777154081495107,22.231535072938833,34.68817947288492,344,0.190705662400498,West - Region Adjusted
